"Olympics","Country","Gold","Silver","Bronze","Total"
"Chamonix 1924","Norway","4","7","6","17"
"Chamonix 1924","Finland","4","4","3","11"
"Chamonix 1924","Austria","2","1","0","3"
"Chamonix 1924","Switzerland","2","0","1","3"
"Chamonix 1924","United States of America","1","2","1","4"
"Chamonix 1924","Great Britain","1","1","2","4"
"Chamonix 1924","Sweden","1","1","0","2"
"Chamonix 1924","Canada","1","0","0","1"
"Chamonix 1924","France","0","0","3","3"
"Chamonix 1924","Belgium","0","0","1","1"
"St. Moritz 1928","Norway","6","4","5","15"
"St. Moritz 1928","United States of America","2","2","2","6"
"St. Moritz 1928","Sweden","2","2","1","5"
"St. Moritz 1928","Finland","2","1","1","4"
"St. Moritz 1928","Canada","1","0","0","1"
"St. Moritz 1928","France","1","0","0","1"
"St. Moritz 1928","Austria","0","3","1","4"
"St. Moritz 1928","Czechoslovakia","0","0","1","1"
"St. Moritz 1928","Belgium","0","0","1","1"
"St. Moritz 1928","Great Britain","0","0","1","1"
"St. Moritz 1928","Germany","0","0","1","1"
"St. Moritz 1928","Switzerland","0","0","1","1"
"Lake Placid 1932","United States of America","6","4","2","12"
"Lake Placid 1932","Norway","3","4","3","10"
"Lake Placid 1932","Sweden","1","2","0","3"
"Lake Placid 1932","Canada","1","1","5","7"
"Lake Placid 1932","Finland","1","1","1","3"
"Lake Placid 1932","Austria","1","1","0","2"
"Lake Placid 1932","France","1","0","0","1"
"Lake Placid 1932","Switzerland","0","1","0","1"
"Lake Placid 1932","Germany","0","0","2","2"
"Lake Placid 1932","Hungary","0","0","1","1"
"Garmisch-Partenkirchen 1936","Norway","7","5","3","15"
"Garmisch-Partenkirchen 1936","Sweden","2","2","3","7"
"Garmisch-Partenkirchen 1936","Germany","2","2","0","4"
"Garmisch-Partenkirchen 1936","Finland","1","2","3","6"
"Garmisch-Partenkirchen 1936","Switzerland","1","2","0","3"
"Garmisch-Partenkirchen 1936","Austria","1","1","2","4"
"Garmisch-Partenkirchen 1936","Great Britain","1","1","1","3"
"Garmisch-Partenkirchen 1936","United States of America","1","0","3","4"
"Garmisch-Partenkirchen 1936","Canada","0","1","0","1"
"Garmisch-Partenkirchen 1936","France","0","0","1","1"
"Garmisch-Partenkirchen 1936","Hungary","0","0","1","1"
"St. Moritz 1948","Sweden","4","3","3","10"
"St. Moritz 1948","Norway","4","3","3","10"
"St. Moritz 1948","Switzerland","3","4","2","9"
"St. Moritz 1948","United States of America","3","3","2","8"
"St. Moritz 1948","France","2","1","2","5"
"St. Moritz 1948","Canada","2","0","1","3"
"St. Moritz 1948","Austria","1","3","4","8"
"St. Moritz 1948","Finland","1","3","2","6"
"St. Moritz 1948","Belgium","1","1","0","2"
"St. Moritz 1948","Italy","1","0","0","1"
"St. Moritz 1948","Czechoslovakia","0","1","0","1"
"St. Moritz 1948","Hungary","0","1","0","1"
"St. Moritz 1948","Great Britain","0","0","2","2"
"Oslo 1952","Norway","7","3","6","16"
"Oslo 1952","United States of America","4","6","1","11"
"Oslo 1952","Finland","3","4","2","9"
"Oslo 1952","Austria","2","4","2","8"
"Oslo 1952","Federal Republic of Germany (1950-1990, ""GER"" since) ","2","0","0","2"
"Oslo 1952","Germany","1","2","2","5"
"Oslo 1952","Canada","1","0","1","2"
"Oslo 1952","Italy","1","0","1","2"
"Oslo 1952","Great Britain","1","0","0","1"
"Oslo 1952","Netherlands","0","3","0","3"
"Oslo 1952","Sweden","0","0","4","4"
"Oslo 1952","Switzerland","0","0","2","2"
"Oslo 1952","France","0","0","1","1"
"Oslo 1952","Hungary","0","0","1","1"
"Cortina d'Ampezzo 1956","USSR","6","3","6","15"
"Cortina d'Ampezzo 1956","Austria","4","3","4","11"
"Cortina d'Ampezzo 1956","Finland","3","3","1","7"
"Cortina d'Ampezzo 1956","Switzerland","3","2","1","6"
"Cortina d'Ampezzo 1956","Sweden","2","4","4","10"
"Cortina d'Ampezzo 1956","United States of America","2","3","2","7"
"Cortina d'Ampezzo 1956","Norway","2","1","1","4"
"Cortina d'Ampezzo 1956","Italy","1","2","0","3"
"Cortina d'Ampezzo 1956","United Team of Germany (1956,1960,1964)","1","0","1","2"
"Cortina d'Ampezzo 1956","Canada","0","1","2","3"
"Cortina d'Ampezzo 1956","Japan","0","1","0","1"
"Cortina d'Ampezzo 1956","Poland","0","0","1","1"
"Cortina d'Ampezzo 1956","Hungary","0","0","1","1"
"Squaw Valley 1960","USSR","7","5","9","21"
"Squaw Valley 1960","United Team of Germany (1956,1960,1964)","4","3","1","8"
"Squaw Valley 1960","United States of America","3","4","3","10"
"Squaw Valley 1960","Norway","3","3","0","6"
"Squaw Valley 1960","Sweden","3","2","2","7"
"Squaw Valley 1960","Finland","2","3","3","8"
"Squaw Valley 1960","Canada","2","1","1","4"
"Squaw Valley 1960","Switzerland","2","0","0","2"
"Squaw Valley 1960","Austria","1","2","3","6"
"Squaw Valley 1960","France","1","0","2","3"
"Squaw Valley 1960","Netherlands","0","1","1","2"
"Squaw Valley 1960","Poland","0","1","1","2"
"Squaw Valley 1960","Czechoslovakia","0","1","0","1"
"Squaw Valley 1960","Italy","0","0","1","1"
"Innsbruck 1964","USSR","11","7","6","24"
"Innsbruck 1964","Austria","4","5","3","12"
"Innsbruck 1964","Norway","3","6","6","15"
"Innsbruck 1964","Finland","3","4","3","10"
"Innsbruck 1964","France","3","4","0","7"
"Innsbruck 1964","United Team of Germany (1956,1960,1964)","3","3","3","9"
"Innsbruck 1964","Sweden","3","3","1","7"
"Innsbruck 1964","United States of America","1","2","3","6"
"Innsbruck 1964","Netherlands","1","1","0","2"
"Innsbruck 1964","Canada","1","0","2","3"
"Innsbruck 1964","Great Britain","1","0","0","1"
"Innsbruck 1964","Italy","0","1","3","4"
"Innsbruck 1964","Democratic People's Republic of Korea","0","1","0","1"
"Innsbruck 1964","Czechoslovakia","0","0","1","1"
"Grenoble 1968","Norway","6","6","2","14"
"Grenoble 1968","USSR","5","5","3","13"
"Grenoble 1968","France","4","3","2","9"
"Grenoble 1968","Italy","4","0","0","4"
"Grenoble 1968","Austria","3","4","4","11"
"Grenoble 1968","Netherlands","3","3","3","9"
"Grenoble 1968","Sweden","3","2","3","8"
"Grenoble 1968","Federal Republic of Germany (1950-1990, ""GER"" since) ","2","2","3","7"
"Grenoble 1968","United States of America","1","3","1","5"
"Grenoble 1968","Finland","1","2","2","5"
"Grenoble 1968","German Democratic Republic ((1955-1990) ","1","2","2","5"
"Grenoble 1968","Czechoslovakia","1","2","1","4"
"Grenoble 1968","Canada","1","1","1","3"
"Grenoble 1968","Switzerland","0","2","4","6"
"Grenoble 1968","Romania","0","0","1","1"
"Sapporo 1972","USSR","8","5","3","16"
"Sapporo 1972","German Democratic Republic ((1955-1990) ","4","3","7","14"
"Sapporo 1972","Switzerland","4","3","3","10"
"Sapporo 1972","Netherlands","4","3","2","9"
"Sapporo 1972","United States of America","3","2","3","8"
"Sapporo 1972","Federal Republic of Germany (1950-1990, ""GER"" since) ","3","1","1","5"
"Sapporo 1972","Norway","2","5","5","12"
"Sapporo 1972","Italy","2","2","1","5"
"Sapporo 1972","Austria","1","2","2","5"
"Sapporo 1972","Sweden","1","1","2","4"
"Sapporo 1972","Japan","1","1","1","3"
"Sapporo 1972","Czechoslovakia","1","0","2","3"
"Sapporo 1972","Poland","1","0","0","1"
"Sapporo 1972","Spain","1","0","0","1"
"Sapporo 1972","Finland","0","4","1","5"
"Sapporo 1972","France","0","1","2","3"
"Sapporo 1972","Canada","0","1","0","1"
"Innsbruck 1976","USSR","13","6","8","27"
"Innsbruck 1976","German Democratic Republic ((1955-1990) ","7","5","7","19"
"Innsbruck 1976","United States of America","3","3","4","10"
"Innsbruck 1976","Norway","3","3","1","7"
"Innsbruck 1976","Federal Republic of Germany (1950-1990, ""GER"" since) ","2","5","3","10"
"Innsbruck 1976","Finland","2","4","1","7"
"Innsbruck 1976","Austria","2","2","2","6"
"Innsbruck 1976","Switzerland","1","3","1","5"
"Innsbruck 1976","Netherlands","1","2","3","6"
"Innsbruck 1976","Italy","1","2","1","4"
"Innsbruck 1976","Canada","1","1","1","3"
"Innsbruck 1976","Great Britain","1","0","0","1"
"Innsbruck 1976","Czechoslovakia","0","1","0","1"
"Innsbruck 1976","Liechtenstein","0","0","2","2"
"Innsbruck 1976","Sweden","0","0","2","2"
"Innsbruck 1976","France","0","0","1","1"
"Lake Placid 1980","USSR","10","6","6","22"
"Lake Placid 1980","German Democratic Republic ((1955-1990) ","9","7","7","23"
"Lake Placid 1980","United States of America","6","4","2","12"
"Lake Placid 1980","Austria","3","2","2","7"
"Lake Placid 1980","Sweden","3","0","1","4"
"Lake Placid 1980","Liechtenstein","2","2","0","4"
