Athlete,Count,Country,Medals
Bjorn DAEHLIE,12,Norway,"[{'Medal': 'Silver', 'Event': '30km mass start', 'Olympics': 'Albertville 1992'}, {'Medal': 'Gold', 'Event': '50km', 'Olympics': 'Albertville 1992'}, {'Medal': 'Gold', 'Event': 'Combined 10km + 15km pursuit', 'Olympics': 'Albertville 1992'}, {'Medal': 'Gold', 'Event': '4x10km relay men', 'Olympics': 'Albertville 1992'}, {'Medal': 'Gold', 'Event': '10km pursuit', 'Olympics': 'Lillehammer 1994'}, {'Medal': 'Silver', 'Event': '30km mass start', 'Olympics': 'Lillehammer 1994'}, {'Medal': 'Gold', 'Event': 'Combined 10km + 15km pursuit', 'Olympics': 'Lillehammer 1994'}, {'Medal': 'Silver', 'Event': '4x10km relay men', 'Olympics': 'Lillehammer 1994'}, {'Medal': 'Gold', 'Event': '50km', 'Olympics': 'Nagano 1998'}, {'Medal': 'Gold', 'Event': '4x10km relay men', 'Olympics': 'Nagano 1998'}, {'Medal': 'Silver', 'Event': 'Combined 10km + 15km pursuit', 'Olympics': 'Nagano 1998'}, {'Medal': 'Gold', 'Event': '10km pursuit', 'Olympics': 'Nagano 1998'}]"
Ole Einar BJOERNDALEN,11,Norway,"[{'Medal': 'Gold', 'Event': '10km men', 'Olympics': 'Nagano 1998'}, {'Medal': 'Silver', 'Event': '4x7.5km relay men', 'Olympics': 'Nagano 1998'}, {'Medal': 'Gold', 'Event': '10km men', 'Olympics': 'Salt Lake City 2002'}, {'Medal': 'Gold', 'Event': '20km men', 'Olympics': 'Salt Lake City 2002'}, {'Medal': 'Gold', 'Event': '4x7.5km relay men', 'Olympics': 'Salt Lake City 2002'}, {'Medal': 'Gold', 'Event': '12.5km pursuit men', 'Olympics': 'Salt Lake City 2002'}, {'Medal': 'Silver', 'Event': '20km men', 'Olympics': 'Turin 2006'}, {'Medal': 'Silver', 'Event': '12.5km pursuit men', 'Olympics': 'Turin 2006'}, {'Medal': 'Bronze', 'Event': '15km mass start men', 'Olympics': 'Turin 2006'}, {'Medal': 'Silver', 'Event': '20km men', 'Olympics': 'Vancouver 2010'}, {'Medal': 'Gold', 'Event': '4x7.5km relay men', 'Olympics': 'Vancouver 2010'}]"
Raisa SMETANINA,10,USSR,"[{'Medal': 'Gold', 'Event': '4x5km relay women', 'Olympics': 'Innsbruck 1976'}, {'Medal': 'Silver', 'Event': '5km', 'Olympics': 'Innsbruck 1976'}, {'Medal': 'Gold', 'Event': '10km women', 'Olympics': 'Innsbruck 1976'}, {'Medal': 'Gold', 'Event': '5km', 'Olympics': 'Lake Placid 1980'}, {'Medal': 'Silver', 'Event': '4x5km relay women', 'Olympics': 'Lake Placid 1980'}, {'Medal': 'Silver', 'Event': '10km women', 'Olympics': 'Sarajevo 1984'}, {'Medal': 'Silver', 'Event': '20km', 'Olympics': 'Sarajevo 1984'}, {'Medal': 'Bronze', 'Event': '20km', 'Olympics': 'Calgary 1988'}, {'Medal': 'Silver', 'Event': '10km women', 'Olympics': 'Calgary 1988'}, {'Medal': 'Gold', 'Event': '4x5km relay women', 'Olympics': 'Albertville 1992'}]"
Stefania BELMONDO,10,Italy,"[{'Medal': 'Silver', 'Event': 'Combined 5km + 10km pursuit', 'Olympics': 'Albertville 1992'}, {'Medal': 'Bronze', 'Event': '4x5km relay women', 'Olympics': 'Albertville 1992'}, {'Medal': 'Gold', 'Event': '30km', 'Olympics': 'Albertville 1992'}, {'Medal': 'Bronze', 'Event': '4x5km relay women', 'Olympics': 'Lillehammer 1994'}, {'Medal': 'Bronze', 'Event': 'Combined 5km + 10km pursuit', 'Olympics': 'Lillehammer 1994'}, {'Medal': 'Bronze', 'Event': '4x5km relay women', 'Olympics': 'Nagano 1998'}, {'Medal': 'Silver', 'Event': '30km', 'Olympics': 'Nagano 1998'}, {'Medal': 'Bronze', 'Event': '10km women', 'Olympics': 'Salt Lake City 2002'}, {'Medal': 'Silver', 'Event': '30km', 'Olympics': 'Salt Lake City 2002'}, {'Medal': 'Gold', 'Event': '15km mass start', 'Olympics': 'Salt Lake City 2002'}]"
Sixten JERNBERG,9,Sweden,"[{'Medal': 'Gold', 'Event': '50km', 'Olympics': ""Cortina d'Ampezzo 1956""}, {'Medal': 'Bronze', 'Event': '4x10km relay men', 'Olympics': ""Cortina d'Ampezzo 1956""}, {'Medal': 'Silver', 'Event': '15km  men', 'Olympics': ""Cortina d'Ampezzo 1956""}, {'Medal': 'Silver', 'Event': '30km mass start', 'Olympics': ""Cortina d'Ampezzo 1956""}, {'Medal': 'Silver', 'Event': '15km  men', 'Olympics': 'Squaw Valley 1960'}, {'Medal': 'Gold', 'Event': '30km mass start', 'Olympics': 'Squaw Valley 1960'}, {'Medal': 'Gold', 'Event': '50km', 'Olympics': 'Innsbruck 1964'}, {'Medal': 'Bronze', 'Event': '15km  men', 'Olympics': 'Innsbruck 1964'}, {'Medal': 'Gold', 'Event': '4x10km relay men', 'Olympics': 'Innsbruck 1964'}]"
Ljubov EGOROVA,9,Unified Team (ex USSR),"[{'Medal': 'Silver', 'Event': '5km', 'Olympics': 'Albertville 1992'}, {'Medal': 'Gold', 'Event': 'Combined 5km + 10km pursuit', 'Olympics': 'Albertville 1992'}, {'Medal': 'Gold', 'Event': '4x5km relay women', 'Olympics': 'Albertville 1992'}, {'Medal': 'Silver', 'Event': '30km', 'Olympics': 'Albertville 1992'}, {'Medal': 'Gold', 'Event': '15km mass start', 'Olympics': 'Albertville 1992'}, {'Medal': 'Gold', 'Event': '5km', 'Olympics': 'Lillehammer 1994'}, {'Medal': 'Silver', 'Event': '15km mass start', 'Olympics': 'Lillehammer 1994'}, {'Medal': 'Gold', 'Event': '4x5km relay women', 'Olympics': 'Lillehammer 1994'}, {'Medal': 'Gold', 'Event': 'Combined 5km + 10km pursuit', 'Olympics': 'Lillehammer 1994'}]"
Uschi DISL,9,Germany,"[{'Medal': 'Silver', 'Event': '3x7.5km relay', 'Olympics': 'Albertville 1992'}, {'Medal': 'Bronze', 'Event': '15km women', 'Olympics': 'Lillehammer 1994'}, {'Medal': 'Silver', 'Event': '4x7.5km relay', 'Olympics': 'Lillehammer 1994'}, {'Medal': 'Silver', 'Event': '7.5km women', 'Olympics': 'Nagano 1998'}, {'Medal': 'Bronze', 'Event': '15km women', 'Olympics': 'Nagano 1998'}, {'Medal': 'Gold', 'Event': '4x7.5km relay', 'Olympics': 'Nagano 1998'}, {'Medal': 'Silver', 'Event': '7.5km women', 'Olympics': 'Salt Lake City 2002'}, {'Medal': 'Gold', 'Event': '4x7.5km relay', 'Olympics': 'Salt Lake City 2002'}, {'Medal': 'Bronze', 'Event': '12,5km mass start women', 'Olympics': 'Turin 2006'}]"
Claudia PECHSTEIN,9,Germany,"[{'Medal': 'Bronze', 'Event': '5000m women', 'Olympics': 'Albertville 1992'}, {'Medal': 'Gold', 'Event': '5000m women', 'Olympics': 'Lillehammer 1994'}, {'Medal': 'Bronze', 'Event': '3000m women', 'Olympics': 'Lillehammer 1994'}, {'Medal': 'Gold', 'Event': '5000m women', 'Olympics': 'Nagano 1998'}, {'Medal': 'Silver', 'Event': '3000m women', 'Olympics': 'Nagano 1998'}, {'Medal': 'Gold', 'Event': '3000m women', 'Olympics': 'Salt Lake City 2002'}, {'Medal': 'Gold', 'Event': '5000m women', 'Olympics': 'Salt Lake City 2002'}, {'Medal': 'Silver', 'Event': '5000m women', 'Olympics': 'Turin 2006'}, {'Medal': 'Gold', 'Event': 'Team pursuit women', 'Olympics': 'Turin 2006'}]"
Galina KULAKOVA,8,USSR,"[{'Medal': 'Silver', 'Event': '5km', 'Olympics': 'Grenoble 1968'}, {'Medal': 'Bronze', 'Event': '3x5km relay', 'Olympics': 'Grenoble 1968'}, {'Medal': 'Gold', 'Event': '5km', 'Olympics': 'Sapporo 1972'}, {'Medal': 'Gold', 'Event': '10km women', 'Olympics': 'Sapporo 1972'}, {'Medal': 'Gold', 'Event': '3x5km relay', 'Olympics': 'Sapporo 1972'}, {'Medal': 'Gold', 'Event': '4x5km relay women', 'Olympics': 'Innsbruck 1976'}, {'Medal': 'Bronze', 'Event': '10km women', 'Olympics': 'Innsbruck 1976'}, {'Medal': 'Silver', 'Event': '4x5km relay women', 'Olympics': 'Lake Placid 1980'}]"
Karin KANIA,8,German Democratic Republic ((1955-1990) ,"[{'Medal': 'Gold', 'Event': '500m women', 'Olympics': 'Lake Placid 1980'}, {'Medal': 'Gold', 'Event': '1000m women', 'Olympics': 'Sarajevo 1984'}, {'Medal': 'Silver', 'Event': '3000m women', 'Olympics': 'Sarajevo 1984'}, {'Medal': 'Gold', 'Event': '1500m women', 'Olympics': 'Sarajevo 1984'}, {'Medal': 'Silver', 'Event': '500m women', 'Olympics': 'Sarajevo 1984'}, {'Medal': 'Silver', 'Event': '1500m women', 'Olympics': 'Calgary 1988'}, {'Medal': 'Bronze', 'Event': '500m women', 'Olympics': 'Calgary 1988'}, {'Medal': 'Silver', 'Event': '1000m women', 'Olympics': 'Calgary 1988'}]"
